意图	语料
餐馆	好，然后要去吃饭，求推荐评分是4.5分以上，有黑虎虾这道菜的餐馆，再看看餐馆周边景点有什么？
thank	谢谢！没有问题了，再见！
景点	你好，能帮我推荐一个评分是4分以上，票价免费，游玩时长1小时的景点吗？
景点	是吗，辽金城垣博物馆好玩吗，能把这个景点的电话告诉我吗？
thank	好的，非常感谢！
酒店	你好，我想找一家评分是5分的经济型酒店住宿，有好地方吗？
酒店	这家酒店有叫醒服务吗？
酒店	周边有什么餐馆吗？
餐馆	那就麻烦您帮我找一家有菜心鲜虾这道菜的餐馆吧，最好评分是4分以上。
餐馆	庆丰包子铺(天通苑店)的地址在哪？周边还有其它餐馆吗?
餐馆	知道了。我想请朋友们吃蒜蓉粉丝蒸扇贝，请帮忙推荐一家评分是4.5分以上有这道菜的餐馆啊。
餐馆	餐馆电话是多少？吃完饭想休息一下，周边有什么酒店供选择吗？
餐馆	我现在订个座，请告诉我万龙洲海鲜大酒楼(大兴店)的电话。
thank	好的！没有问题了，谢谢！886！
酒店	你好，请给我推荐一家评分4分以上有国际长途电话和吹风机服务设施的酒店住宿。
酒店	请问酒店的价格是多少钱？
酒店	酒店的周边都有哪些餐馆啊？
景点	好的 ，我想去个门票价格150-200元可以游玩时长2小时的景点，给我推荐一个吧。
景点	请问这个景点的周边都有哪些酒店啊？
酒店	请在北京欢乐谷周边的酒店里给我推荐一家有无烟房和会议室服务设施的经济型酒店住宿。
酒店	酒店的电话是多少？
酒店	这家酒店周边有哪些餐馆啊？
餐馆	我想找家评分4.5分以上的餐馆吃鸡翅、牛羊肉这两道菜，给我推荐一家餐馆用餐吧。
餐馆	这家餐馆的人均消费是多少？
餐馆	餐馆的周边还有哪些别的餐馆啊？
餐馆	请在韩风源烧烤涮自助餐厅(平谷店)周边的餐馆里给我推荐一家人均消费100-150元有巧克力蛋糕这道菜的餐馆。
餐馆	请问这家餐馆的地址在哪里？
餐馆	餐馆评分多少啊？
thank	好的，谢谢你了。
酒店	您好，请帮我找个经济型的酒店，酒店设施要有看护小孩服务与宽带上网。
酒店	好，那您把7天连锁酒店(北京首都机场店)的电话给我一下。
餐馆	然后您在帮我找个推荐菜有炒肝与炖吊子的餐馆，评分最好在4.5分以上，人均消费要100-150元之间。
餐馆	麻烦把它周边有什么景点告诉我一下。
景点	最后您在帮我查下北京宣武门天主堂这个景点的门票价格与评分是多少。
thank	好，谢谢，我的问题问完了。
景点	你好，可以帮我找一个评分是4.5分以上，游玩时长是1小时 - 2小时的景点吗？
景点	好呀，你知道这个景点门票是多少钱吗？
景点	还可以，我比较关心景点周边都有什么好吃的餐馆，你能帮我查一下不？
酒店	好的，有就好，溜达完，我得找个地方住，能帮我推荐一个价格是300-400元，提供酒店各处提供wifi和暖气的酒店吗？
酒店	行啊，这个酒店周边都有啥好玩的地方啊？
酒店	哦，太可惜了，酒店是什么类型的呀？
餐馆	还不错哦，安排好住处，我打算找个评分是4.5分以上的餐馆吃饭，给推荐一个好吗？
餐馆	可以，那就去过客(南锣鼓巷店)好了，它家周边有酒店吗？
餐馆	真是太好了，你知道它家电话不？
thank	收到，非常感谢！
thank	你好，请帮我推荐一家有红糖糍粑，评分在4.5分以上的餐厅，谢谢。
餐馆	眉州东坡小吃(国奥村店)的电话是多少？
餐馆	那具体地址呢？
酒店	好的，再帮我推荐一家评分4.5分以上的舒适型酒店。
酒店	维也纳国际酒店(北京首体店)这家酒店有没有SPA？
酒店	那好吧，周边还有什么景点吗？
景点	没有啊，那好吧，那再推荐一个游玩时长在2小时 - 3小时的景点。
景点	北京天文馆的评分是多少？
景点	电话是多少？
景点	OK，再帮我查一下曼谷乐园的游玩时间。
thank	好的，谢谢。
景点	您好，帮我查一下红砖美术馆的电话。
景点	红砖美术馆周边有啥吃饭的地方没有？
餐馆	请再帮我找一个人均消费50-100元的餐馆，什么类型的都行。
餐馆	这家餐馆的招牌推荐菜是什么？
餐馆	好，羊肋肉我最爱吃了，他家电话是多少？
地铁	我要是坐地铁从红砖美术馆到聚宝源(牛街总店)，出发站和到达站的地铁站是什么呢？
出租	嗯嗯，感觉坐地铁不太方便，还是坐出租车吧，帮我查下车型和车牌。
thank	好的，谢谢您了！
景点	给我推荐一个评分在4.5分以上，门票不免费的景点？
景点	故宫的游玩时间是多少，地址在哪？
餐馆	想吃四川泡菜，给我推荐一家评分是5分的餐馆。
餐馆	江边城外烤全鱼(亚运村店)周边有酒店吗？
地铁	从故宫到江边城外烤全鱼(亚运村店)怎么坐地铁？
thank	谢谢。
景点	你好，你可以帮我找一个可以玩12小时 - 3天，票价是免费的景点吗？
景点	我更想去高碑店国际民俗旅游村，你看一下他的周边有没有酒店呢？
景点	这可就方便多了，你有他家的电话吗？
餐馆	好，我把电话记下来，玩累了，我想去一家人均消费为100-150元的餐馆用餐，你在帮我找一下呗。
餐馆	哦，我对砂锅居（西四店）更有兴趣一些，他家的地址是哪啊？
餐馆	好的，这下万事具备了，在帮我查一下他家的营业时间好吗？
酒店	那接下来就是找地方住了，你看哪家的酒店最低价格是500-600元，评分是4.5分以上的呀？
酒店	哦，你在看看他的周边有没有景点啊，有时间我还想在附近走走呢？
酒店	那周边有没有餐馆呢？
thank	哦，看来还得吃酒店的饭菜，同样谢谢你哈！
餐馆	您好，我想找一家评分是4.5分以上，有姜汁松花蛋这道菜、人均消费是50-100元的餐馆。求推荐。
餐馆	好，这家店的地址在哪？
景点	好的。再帮我找一个票价是50-100元的景点，想带孩子去玩玩。
景点	就去世界公园吧， 看看周边有什么酒店和其它景点呢？
地铁	好的。如果想乘地铁从北新桥卤煮老店到世界公园 ，请告诉我这两个地方的地铁站分别是什么？
酒店	世界公园周边的酒店，我想找家经济型的、提供wifi的酒店住宿，帮我看一家哪家符合呢？
酒店	胜高连锁酒店(北京丰台东大街店)这家酒店周边有什么餐馆吗？地址在哪？
酒店	朋友要来看我，再帮我找一家评分是5分、提供叫醒服务的酒店吧。地址和周边景点一起告诉我，我转告她。
bye	先不用了，我再问问她吧。没事问题了，再见吧！
餐馆	你好，我想找一个评分是5分，人均消费100-150元的餐馆和朋友们聚餐，有没有合适的推荐一个。
餐馆	四川火锅，不错不错，那么餐馆附近有景点吗？吃完了我们还想溜达溜达。
景点	好的，那么在这些周边的景点里，有门票价格是20-50元，可以游玩1小时左右的景点吗？
景点	鸟巢空中走廊不错，那附近有能吃饭的地方吗？
thank	好的，谢谢你。
餐馆	你好，可以帮我找一个人均消费是100-150元，评分是5分的餐馆吗？
餐馆	我选择去全聚德烤鸭(吕营店)吃饭，它家都有什么推荐菜啊？
餐馆	好的，那它家周边有景点吗？
景点	不错啊，我正打算在餐馆周边找一个游玩时长是1小时 - 2小时，票价是20元以下的景点游玩呢，知道哪个比较适合我吗？
景点	好啊，那潘家园周边还有别的景点吗？
景点	这么好啊，这个景点溜达完，我还想找一个评分是4.5分以上的景点接着玩，你有什么好的地方推荐吗？
景点	那我就去北京欢乐谷吧，帮我查一下这个景点周边都有什么酒店好吗？
景点	真不错呢，那你有这个景点的电话吗？
酒店	我记下了，溜达完以后我打算在景点周边找一个提供行李寄存和西式餐厅，价格是800-900元的酒店住宿，知道哪个酒店符合我的要求吗？
酒店	那好吧，就去这个酒店住吧，它家电话是多少呀？
酒店	好的，它家周边有景点吗？
酒店	挺好啊，明天我打算换一个评分是4.5分以上，提供酒吧和行李寄存的酒店住宿，你知道哪里能找到吗？
酒店	行啊，你知道这个酒店在哪里吗？
thank	OK，我知道了，谢谢你啊！
景点	你好，我想带女朋友找个游玩时间2小时 - 3小时的景点游玩，给我推荐一个好玩的景点吧。
景点	这个景点的周边有哪些酒店啊？
景点	景点的地址是在哪啊？
酒店	请在北京杜莎夫人蜡像馆给我推荐一家有早餐服务和暖气服务的舒适型酒店住宿。
酒店	酒店的评分多少啊？
酒店	酒店的电话多少啊？
餐馆	好的，我想找一家评分4.5分以上的餐馆吃鲜鸭血这道菜，给我推荐一家餐馆用餐吧。
餐馆	这家餐馆的人均消费是多少钱啊？
餐馆	餐馆的营业时间是？
酒店	好的，吃完饭我想找一家评分4.5分以上最低价格在200-300元的酒店住宿，给我推荐一家吧。
酒店	这家酒店的地址在哪啊？
酒店	酒店的周边有哪些景点啊?
出租	请帮我呼叫一辆从海底捞火锅(西单店)到北京畅悦时尚酒店(原乐活酒店)的出租车，告诉我车型和车牌号。
thank	好的，谢谢你了。
酒店	帮我查一下如家快捷酒店(北京火车站东便门店)的评分好吗？
餐馆	我想吃萨琪玛，帮我找一个人均消费是100-150元的餐馆，谢谢。
餐馆	地址在哪？
景点	吃完饭，我想去一个评分5分的景点，转上1个来小时，你能给我推荐一个吗？
景点	它的地址给我发一下，周边有什么景点吗？
景点	好的，我还想在这个景点周边在转转，最好是能玩2个小时的景点。
景点	好的，它周边有什么不错的酒店和餐馆吗？
thank	非常感谢你！
餐馆	你好，我想找个能做水煮鲶鱼的餐馆吃饭，你能给我推荐一个吗？
餐馆	是吗，那我可得去尝尝，它家周边可否有别的餐馆呢？
景点	真不错，吃完饭我要去名叫北京平谷金海湖的景点游玩，能帮我看看这个景点周边还有哪些其他景点吗？
酒店	好的，我知道了，游玩结束以后我打算找个提供商务中心，评分是5分的高档型酒店住宿，你能给我点建议吗？
酒店	既然是唯一，那就去这里住好了，知道它家周边都有什么餐馆吗？
酒店	太好了，那它家周边有哪些景点呢？
thank	哦了，我了解了，谢谢你啊！
景点	你好，我们这个周末想去华夏之光玩，这个景点附近有酒店吗？
酒店	好的，今天晚上我们预定了北京富力万达嘉华酒店，我想问一下，这个是什么类型的酒店啊？
thank	好的，谢谢你。
酒店	你好，我想去酒店住宿。请帮我找一家最低价格是300-400元的带健身房的酒店。
酒店	好的。北京牡丹宾馆的评分是4.5分以上的？
酒店	恩，可以的。北京玉华宫宾馆的类型是啥啊？
酒店	好的。这家酒店的周边有哪些好玩的景点？
餐馆	好。休息好了想去吃饭。请帮我找一家人均消费是100-150元的，有家常凉菜和扇贝肉炒韭菜这两个菜的餐馆。
餐馆	嗯呢。林海雪乡东北菜这家餐馆的周边景点都有哪些啊？
餐馆	嗯呢。这家餐馆的周边有哪些好玩的景点？
thank	好的哦，看见了。谢谢啊。
餐馆	你好，有没有人均消费在150-500元的餐馆推荐一个给我，我们要出去聚会。
餐馆	好呀，就去那儿。那附近有其他的餐厅作为备选吗？
餐馆	那很好。在你上述所说的餐馆里，能不能帮我找个能吃到尖椒土豆丝的，评价在4分以上，然后人均消费在50-100元之间的餐厅呢？
餐馆	这样也行，有没有评分不是那么要紧的事。那你给我留个电话吧。
景点	多谢。另外我还计划找个地方玩个0.5小时 - 1小时，帮我找个收门票的景点吧，免费景点一般都没啥意思。
景点	好呀，那儿电话是多少？
景点	不错，顺便问一句景点周围有啥好酒店不？
thank	嗯，我挺满意的，谢谢你。
景点	你好，我想要找一个不免费的景点看看，免费的那些公园和博物馆之类的我不感兴趣，您帮我推荐一个吧。
景点	这个地方大概能玩多长时间？地址在哪里啊？我安排好时间过去玩。
餐馆	好的，那玩完应该很晚了，您帮我先找好一家能吃到炖腔骨的人均消费是50-100元的餐馆吧。
餐馆	这家店评分是多少啊？
酒店	吃完饭晚上我想要找地方住，希望找一家提供西式餐厅和国际长途电话的高档型酒店。
酒店	那就这个，这家酒店的电话和地址发给我一下呗。
thank	好的，多谢了。
餐馆	你好，我要去名叫豪尚豪牛排馆(华联天通苑太平兴园店)的餐馆吃饭，能帮我查一下这个餐馆周边还有哪些餐馆吗？
餐馆	好的，它家推荐菜都有什么呀？
餐馆	哇，都是美味呀，晚上我要换一家餐馆吃饭，打算在这个餐馆周边找一个人均消费50-100元，有烤腰子的餐馆，知道谁家符合要求吗？
餐馆	也行啊，那你帮我查一下它家的营业时间吧。
酒店	好的，时间还是可以的，吃完饭我可能会在这边住下，能帮我推荐一个提供暖气的高档型酒店吗？
酒店	行，就去这里了，麻烦你告诉我一下这个酒店的地址。
出租	收到，我想呼叫从祝氏第一锅羊蝎子火锅(天通苑店)到北京东方花园饭店的出租车，能帮我查一下这个出租的车型和车牌吗？
thank	OK，我知道了，谢谢你啊！
酒店	你好，我要去7天连锁酒店(北京航天桥店)住宿，请告诉我该酒店的周边有什么吃饭的餐馆没？
酒店	这家酒店的地址是在哪里啊？
餐馆	请给我推荐一家评分5分的餐馆吃饭。
餐馆	请问这家餐馆的营业时间是？
餐馆	餐馆的周边有哪些酒店啊？
thank	好的，谢谢了。
餐馆	在吗？麻烦您帮我看看哪家餐馆是人均消费100-150元，评分4.5以上的？
餐馆	"那麻烦问一下	孔乙己(后海店)周边都有啥景点呢？"
餐馆	周边的酒店呢？
thank	收到，感谢！
景点	你好，我想找个景点游玩，希望景点评分是4.5分以上，票价免费，可以帮忙推荐一个吗？
景点	好啊，能帮我查一下这个景点的周边还有哪些其他景点吗？
thank	这么多好玩的地方真是太好了呢，谢谢你啊！
酒店	你好，我想去布丁酒店(北京火车南站南广场店)这家酒店住宿，请告诉我这家酒店是什么类型的。
酒店	该酒店的具体地址在哪里？
景点	好的，请给我推荐一个可以游玩2小时 - 4小时评分4.5分以上的景点。
景点	这个景点的地址在哪里啊？
餐馆	好的，请帮我找一家有爆肚这道菜的餐馆吃饭。
餐馆	好的，告诉我餐馆的营业时间。
地铁	我想从布丁酒店(北京火车南站南广场店)乘坐地铁到护国寺小吃店（护国寺总店），请告诉我出发地和目的地附近的地铁站。
出租	好的，请帮我呼叫一辆从布丁酒店(北京火车南站南广场店)到护国寺小吃店（护国寺总店）的出租车吧，告诉我车型和车牌。
thank	好的，谢谢了。
酒店	你好，我想找一个评分是4.5分以上，提供残疾人设施和免费市内电话的酒店，你有这方面的资源吗？
酒店	是吗，那我选择前者吧，它家地址你有吗？
酒店	好像在市中心呢，我喜欢，知道它家是什么类型的酒店吗？
景点	好的，一会我要去游玩，给我找个票价20元以下的景点好吗？
景点	不错啊，我打算去祈年殿，帮我看看这里的评分是多少？
景点	感觉应该还行，就是不知道游玩时间怎么样？
餐馆	嗯，只是散步的话够用了，游玩结束后我要去吃点东西，给我推荐一个评分4.5分以上，人均消费100-150元的餐馆好吗？
餐馆	我想尝尝滇草香云南原生态汤火锅(华联力宝购物中心店)，然后还得麻烦你帮我查一下，这家餐馆周边都有什么酒店？
thank	真是一个繁华的地方呢，谢谢你啊！
餐馆	您好，请帮我找个有肉松这道菜的餐馆用餐，最好餐馆的评分在4.5分以上。
餐馆	那它的人均消费是多少呀，还有周边都有什么景点呢。
餐馆	麻烦在稻香村(灯市口店)的周边帮我找个游玩时间3小时的景点。
景点	那它的门票价格及评分是多少。
景点	好，然后我还要去张裕爱斐堡国际酒庄游玩一下，请帮我查下它的游玩时间，还有周边有什么餐馆。
酒店	最后我要找个舒适型酒店住宿，最好酒店的价格在700-800元之间，您看下有什么好推荐。
酒店	全季酒店(北京宣武门店)我感觉不错，你帮我查下它周边有什么景点。
thank	好，我的问题问完了，谢谢。
餐馆	我想去吃饭，希望去一个人均消费100-150，最好评分4分以上的餐馆，有什么推荐吗？
餐馆	这家店有什么推荐菜吗？
餐馆	能告诉我它的营业时间吗？
酒店	好的，请再帮我找一下北京国贸世纪公寓的酒店类型和地址。
thank	好的，谢谢。
酒店	你好，你能帮我找一家可以接待外宾和吹风机服务的评分在4分以上的酒店吗？
酒店	哦，你有电话吗？
酒店	好的，你看看它的周边有没有好玩的景点啊，有时间我还想去看看呢。
景点	景点还不少呢，那你看一下这些景点里哪个景点是可以玩2小时 - 3小时的呀？
景点	行啊，我还没去过呢，你有这个景点的电话吗？
餐馆	太好了，接下来就到了饭点了，我想找一家人均消费是100-150元的餐馆吗？
餐馆	听这个名字挺贵气呢，你知道他家营业到几点吗？
出租	哦，我记下了，还不能去的太晚呢，接下来我要找车从方家胡同46号到爆肚金生隆，你可以帮我查一下车型，车牌吗？
thank	哦，好的，谢谢你的解答！
景点	先等一下，我还有个问题想问一下，我要去一个评分是4.5分以上的免费景点玩，你可以帮我找一下吗？
景点	好的，那把电话发给我吧。
thank	好的，十分感谢！
餐馆	你好，我想带女朋友去一家人均消费100-150元的餐馆吃方竹笋这道菜，给我推荐一家餐馆用餐吧。
餐馆	这家餐馆的地址在哪啊，评分多少啊？
景点	吃完饭我想找一个游玩时间0.3小时 - 0.5小时的景点游玩，给我推荐一个吧。
景点	这个景点的门票价格是多少啊？
景点	景点的周边有哪些酒店啊？
酒店	请在太和殿周边的酒店给我推荐一家高档型的酒店住宿。
酒店	这家酒店是否有部分房间提供wifi和SPA服务，酒店评分多少啊？
酒店	我想去一家评分4.5分以上的豪华型酒店住宿，给我推荐一家吧。
酒店	这家酒店的周边有哪些景点啊？
酒店	酒店是否有看护小孩服务？
地铁	我要从太和殿乘坐地铁到北京鹏润国际大酒店，请告诉我出发地和目的地附近的地铁站。
thank	好的，谢谢你了啊。
酒店	您好，我要找一家舒适型酒店住宿，然后希望酒店提供暖气与行李寄存。
酒店	那它的电话是多少，然后周边有什么景点呀。
景点	那麻烦您在北京香江戴斯酒店的周边，帮我找个评分4.5分以上、能游玩3天的景点呗。
景点	啊，那没办法了，为了方便只能去中国儿童中心剧院，那您把它的地址与电话告诉我一下。
景点	接着您在帮我找个评分4分以上、然后能游玩1小时的景点。
景点	那它周边还有其它什么景点与餐馆呢。
景点	我想知道的是周边的餐馆都有什么。
餐馆	好，最后我要去一家评分在4分以上、然后推荐菜有泡菜汤的餐馆吃饭，您帮我推荐个呗。
餐馆	嗯，那您把它的电话与营业时间告诉我一下。
thank	谢谢，我的问题问完了。
景点	你好，你能帮我找一家免费的评分4分以上，游玩时长1小时的景点吗？
景点	好的，可以帮我查一下它的地址和周边还有哪些景点吗？
酒店	还能帮我再找一个提供会议室和无烟房的酒店吗？
景点	我想在这家酒店附近景点游玩，能帮我找一个票价是20-50元的吗？
景点	可以告诉我一下他的地址和周边餐馆都有那些吗？
酒店	能再帮我查一下北京贵都大酒店酒店类型和周边景点都有哪些吗？
餐馆	太感谢了，再帮我推荐一个评分是4.5分以上，人均消费是50-100元有烤鱼的餐馆，要求有点多，拜托啦！
餐馆	这家餐馆周边都有哪些景点了？
thank	太感谢你了！
餐馆	你好，我老同学过来看我，他特别爱吃家乡肠，帮我找个人均消费是150-500元的餐馆。
餐馆	嗯，嗯，这个餐馆的营业时间是咋样的，我安排下我们什么时间过去。
景点	知道了，用餐过后我们要去溜达溜达，帮我找个票价是20-50元，游玩的时长是1小时 - 2小时的景点。
景点	北京艺术博物馆具体是在哪里，我俩一出门就分不清方向。
景点	清楚了，它的周边游可以住宿的酒店吗，如果游玩太晚的话就不回家了。
酒店	好的，这回就放心了，这几个酒店里哪个的最低价格是400-500元。
酒店	那这个酒店提供洗衣和SPA服务吗？
酒店	好的，就它了，这个酒店的类型是什么呢？
酒店	了解了，方便把酒店的电话给我吧。
thank	记下了，谢谢你啊。
酒店	你好，能为我挑选一个提供酒吧，价格是700-800元的酒店吗？
酒店	好啊，北京国泰饭店周边有景点吗？
酒店	好的，那这个酒店在哪里啊？
景点	嗯好，定好酒店我打算在酒店周边找个票价免费，游玩时长是1小时 - 2小时的景点游玩，知道哪个比较适合我吗？
景点	可以，就去北京大学好了，帮我查一下这个景点周边还有没有其他景点好吗？
景点	太好了，知道这个景点的评分是多少吗？
餐馆	那还不错啊，溜达完估计也饿了，帮我推荐一个人均消费100-150元，评分是4分以上的餐馆吧。
餐馆	是吗，就去庆云楼(什刹海店)吃吧，它家周边还有别的餐馆吗？
餐馆	真好，这些餐馆我都喜欢，能帮我查一下这个餐馆周边都有什么酒店吗？
thank	收到，非常感谢！
景点	你好，我想去景点长陵，帮我查询下这个景点适合游玩多长时间呢？ 另外周边有啥好景点？
酒店	玩累了，我想找一家酒店休息，帮我推荐一个能提供行李寄存的经济型酒店吧，最好评分在4.5分以上的。
酒店	锦江之星(北京奥体中心店)的价格贵吗？周边有啥好玩的景点呢？
thank	好的，谢谢你。
thank	你好，请帮我推荐个评分是4.5分以上的景点吧，最好门票是免费的，谢谢！
景点	这景点附近还有别的景点么?附近有酒店么？玩的太晚的话我想就近住下！
餐馆	行，那再帮我找家评分是4.5分以上，人均消费在100-150元的餐馆吧！最好有豆腐汤！
餐馆	太好了，地址发我吧！餐馆附近有景点么？
酒店	好的，我还想预约一家酒店，评分在5分，价格在100-200元的就可以！
酒店	可以，酒店设施有SPA和租车服务么？
酒店	周边有景点么？
景点	哪个景点能游玩1小时-2小时，票价在150-200元，评分还是4.5分以上呢？
景点	行，那景点附近有酒店么？
thank	好的，非常感谢，我没有问题了！
景点	你好，可以给我推荐一个门票免费，游玩时长是1小时 - 2小时的景点吗？
景点	好的，你能帮我看看这个景点的电话和评分分别是多少吗？
thank	哦了收到，谢谢你啊！
酒店	你好，请帮我找一家最低价格是300-400元的经济型酒店，我想带我父母去住。
酒店	真的吗，能告诉我它的地址吗？
餐馆	我突然想吃杨梅豆腐，能帮我找一个人均消费是50-100元的餐馆吗？
餐馆	那这家店的评分高吗？位置在哪?
地铁	帮我查一下从锦江之星(北京奥体中心店)到文宇奶酪店(南锣鼓巷店)附近的地铁站。
景点	我想去一个票价是20-50元，评分是4分以上的景点玩。
景点	帮我在它附近找一家酒店可以吗？
没有意图	没关系。
酒店	你好，帮我推荐一个价位在300-400元之间的经济型酒店。
酒店	汉庭酒店(北京南站南店)的电话是多少呢？
酒店	这个酒店的评分怎么样？
餐馆	好的，我想找一个评分在4分以上的有酸辣土豆丝这道菜的餐馆，帮我推荐下。
餐馆	王胖子驴肉火烧（鼓楼店）的周边还有哪些餐馆呢？
景点	吃完饭我想找一个能玩2-3小时的并且票价在50-100元之间的景点，帮我推荐一下呗。
景点	世界花卉大观园的周边都有哪些餐馆呢？
景点	好的，这个景点的评分是多少呢？
thank	好的，谢谢。
酒店	你好，可以帮我找一个评分4.5分以上的高档型酒店吗？
酒店	我希望酒店提供国际长途电话和免费市内电话，这两家酒店满足吗？
酒店	好的，那你帮我发一下这家酒店的地址吧。
景点	明天我要去名叫方家胡同46号的景点游玩，能帮我查一下这个景点的门票是多少吗？
景点	免费呀，真好，再帮我看一下评分是多少好吗？
出租	也行，我想呼叫从万方苑国际酒店到方家胡同46号的出租车，能帮我查一下这个出租的车型和车牌吗？
thank	收到，谢谢亲爱的！
酒店	你好你帮我找一个价格是300-400元的酒店，可以吗？
酒店	好的，这家酒店有无烟房和叫醒服务吗？
酒店	那就哦了，酒店的周边有景点吗？
